"DistinguishedName","DNSHostName","Enabled","Name","ObjectClass","ObjectGUID","SamAccountName","SID","UserPrincipalName"
"CN=SLSNWGSIN0001,OU=SLS,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","SLSNWGSIN0001","computer","676c4542-c5f7-4b37-9a55-cc49f1ba3a81","SLSNWGSIN0001$","S-1-5-21-3663903349-3750885259-1011159491-209763",
"CN=SLSNWG0001,OU=SLS,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","SLSNWG0001","computer","37e1f903-3088-47a8-8724-d1354076e0e0","SLSNWG0001$","S-1-5-21-3663903349-3750885259-1011159491-431746",
"CN=SLSNWG0002,OU=SLS,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","SLSNWG0002","computer","ebb13f88-363a-47c7-ab1e-ff6f1f0cf1d2","SLSNWG0002$","S-1-5-21-3663903349-3750885259-1011159491-431747",
"CN=NZCWSR0010,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","NZCWSR0010.global.schindler.com","True","NZCWSR0010","computer","a5056a45-577b-40bb-a096-35746929e63e","NZCWSR0010$","S-1-5-21-3663903349-3750885259-1011159491-417429",
"CN=SCNWSR0128,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0128.global.schindler.com","True","SCNWSR0128","computer","a130f716-d1f2-4480-8428-191e5ddf285d","SCNWSR0128$","S-1-5-21-3663903349-3750885259-1011159491-344401",
"CN=SCNWSR0091,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0091.global.schindler.com","True","SCNWSR0091","computer","a856b260-15ff-4206-a5f5-9fa794b5e16a","SCNWSR0091$","S-1-5-21-3663903349-3750885259-1011159491-388819",
"CN=MAPDNA0101,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","MAPDNA0101","computer","4e8375b7-4de2-4a9d-a9bc-be96ce2223e6","MAPDNA0101$","S-1-5-21-3663903349-3750885259-1011159491-301776",
"CN=SCNWSR0215,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0215.global.schindler.com","True","SCNWSR0215","computer","1e7cf46e-9d6f-4292-ae15-e8402671287d","SCNWSR0215$","S-1-5-21-3663903349-3750885259-1011159491-318675",
"CN=SLSWSR0002,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SLSWSR0002.global.schindler.com","True","SLSWSR0002","computer","84370762-6449-486b-82cd-5e98e6534df2","SLSWSR0002$","S-1-5-21-3663903349-3750885259-1011159491-74769",
"CN=AUSWSR0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","AUSWSR0001.global.schindler.com","True","AUSWSR0001","computer","6bcb6dfc-bcfb-40e5-bea4-9fd40e1604cc","AUSWSR0001$","S-1-5-21-3663903349-3750885259-1011159491-58798",
"CN=JTPWSR0005,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JTPWSR0005.global.schindler.com","True","JTPWSR0005","computer","ebc6a0fc-4e99-46b2-b7b8-e18db0a9a204","JTPWSR0005$","S-1-5-21-3663903349-3750885259-1011159491-399233",
"CN=INDWSR0023,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0023.global.schindler.com","True","INDWSR0023","computer","9708b2e3-3313-4ed4-b102-9b272a45d890","INDWSR0023$","S-1-5-21-3663903349-3750885259-1011159491-179820",
"CN=INDWSR0083,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0083.global.schindler.com","True","INDWSR0083","computer","8e8a488a-f761-4d46-ae9b-51cdc7543726","INDWSR0083$","S-1-5-21-3663903349-3750885259-1011159491-414002",
"CN=SCNWSR0016,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0016.global.schindler.com","True","SCNWSR0016","computer","03ab8f3e-a590-4502-bfc1-b2487ccc7518","SCNWSR0016$","S-1-5-21-3663903349-3750885259-1011159491-257630",
"CN=SKOWSR0002,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SKOWSR0002.global.schindler.com","True","SKOWSR0002","computer","56b73b14-8026-4cc9-888a-01101cb29941","SKOWSR0002$","S-1-5-21-3663903349-3750885259-1011159491-105712",
"CN=jsbwsr0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","jsbwsr0001.global.schindler.com","True","jsbwsr0001","computer","56387dcf-ad72-4ef5-9e9d-f56dd44709af","JSBWSR0001$","S-1-5-21-3663903349-3750885259-1011159491-370660",
"CN=JSGWSR0050,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0050.global.schindler.com","True","JSGWSR0050","computer","be37ad9c-5194-4f98-8711-9490c69652dc","JSGWSR0050$","S-1-5-21-3663903349-3750885259-1011159491-398453",
"CN=SKOWSR0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SKOWSR0001.global.schindler.com","True","SKOWSR0001","computer","11bc4b23-a365-4524-bd2e-b5889ca680f8","SKOWSR0001$","S-1-5-21-3663903349-3750885259-1011159491-70980",
"CN=JSGWSR0049,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0049.global.schindler.com","True","JSGWSR0049","computer","8076baa2-ff40-4a70-b034-810f87bf4e9d","JSGWSR0049$","S-1-5-21-3663903349-3750885259-1011159491-398450",
"CN=INDWSR0019,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0019.global.schindler.com","True","INDWSR0019","computer","8e713b90-11fd-415e-a848-61b4d4c87a4b","INDWSR0019$","S-1-5-21-3663903349-3750885259-1011159491-122926",
"CN=VNMWSR0132,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","VNMWSR0132.global.schindler.com","True","VNMWSR0132","computer","9e767d86-7c6d-4970-9eb1-e26cc714c696","VNMWSR0132$","S-1-5-21-3663903349-3750885259-1011159491-419190",
"CN=JSPWSR0002,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSPWSR0002.global.schindler.com","True","JSPWSR0002","computer","a440a9dc-429c-4229-b1be-d0192d1ac465","JSPWSR0002$","S-1-5-21-3663903349-3750885259-1011159491-431043",
"CN=SLSDNA0101,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","slsdna0101.GLOBAL.SCHINDLER.COM","True","SLSDNA0101","computer","e5ab6560-e968-43af-b444-f349cba487ca","SLSDNA0101$","S-1-5-21-3663903349-3750885259-1011159491-200647",
"CN=JTPWSR0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JTPWSR0001.global.schindler.com","True","JTPWSR0001","computer","04909ea9-023c-4d44-9b46-29ddcaee25b7","JTPWSR0001$","S-1-5-21-3663903349-3750885259-1011159491-110420",
"CN=JSGWSR0053,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0053.global.schindler.com","True","JSGWSR0053","computer","9bef0c46-e989-428e-84d5-8333a6089a56","JSGWSR0053$","S-1-5-21-3663903349-3750885259-1011159491-406011",
"CN=JSPWSR0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSPWSR0001.global.schindler.com","True","JSPWSR0001","computer","4e384e4f-136b-4951-8669-d306d1dfb4cf","JSPWSR0001$","S-1-5-21-3663903349-3750885259-1011159491-69102",
"CN=LEBWSR0004,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","LEBWSR0004.global.schindler.com","True","LEBWSR0004","computer","17662901-9733-4921-91d8-f7c4a8a8f790","LEBWSR0004$","S-1-5-21-3663903349-3750885259-1011159491-91377",
"CN=LEBWSR0002,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","LEBWSR0002.global.schindler.com","True","LEBWSR0002","computer","436e4d73-63e4-44d2-9b5e-d50f3b7783fc","LEBWSR0002$","S-1-5-21-3663903349-3750885259-1011159491-91317",
"CN=INDWSR0006,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0006.global.schindler.com","True","INDWSR0006","computer","4c94715e-f8a9-4525-bb36-e131c9689d8b","INDWSR0006$","S-1-5-21-3663903349-3750885259-1011159491-176121",
"CN=INDWSR0003,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0003.global.schindler.com","True","INDWSR0003","computer","2e7cfddd-4d08-43b3-afff-f578c358eb90","INDWSR0003$","S-1-5-21-3663903349-3750885259-1011159491-440775",
"CN=SCNWSR0202,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0202.global.schindler.com","True","SCNWSR0202","computer","fb505815-12f1-4f42-8ccd-d847269b3ea5","SCNWSR0202$","S-1-5-21-3663903349-3750885259-1011159491-261934",
"CN=SLSWSR0003,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SLSWSR0003.global.schindler.com","True","SLSWSR0003","computer","513a2599-fb6a-47e2-a530-7b2acbea4c77","SLSWSR0003$","S-1-5-21-3663903349-3750885259-1011159491-404161",
"CN=SCNWSR0051,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0051.global.schindler.com","True","SCNWSR0051","computer","c6d266c9-4f1d-433e-8859-63bf17928813","SCNWSR0051$","S-1-5-21-3663903349-3750885259-1011159491-129749",
